from,to,relation,weight,type
T,GIRA,family,1,clan
GIRA,T,family,1,clan
VB,GIMO,family,1,clan
VB,SAMO,family,1,clan
GIMO,VB,family,1,clan
SAMO,VB,family,1,clan
GIMO,SAMO,family,2,member
SAMO,GIMO,family,2,member
VC,ANPI,family,1,clan
VC,GIPI,family,1,clan
VC,VIPI,family,1,clan
ANPI,VC,family,1,clan
GIPI,VC,family,1,clan
VIPI,VC,family,1,clan
ANPI,GIPI,family,2,member
ANPI,VIPI,family,2,member
GIPI,ANPI,family,2,member
GIPI,VIPI,family,2,member
VIPI,ANPI,family,2,member
VIPI,GIPI,family,2,member
N,RASP,family,1,clan
N,GIUS,family,1,clan
N,AROT,family,1,clan
RASP,N,family,1,clan
GIUS,N,family,1,clan
AROT,N,family,1,clan
RASP,GIUS,family,2,member
RASP,AROT,family,1,member
GIUS,RASP,family,2,member
GIUS,AROT,family,1,member
AROT,RASP,family,1,member
AROT,GIUS,family,1,member
PC,VISO,family,1,clan
PC,GICO,family,1,clan
PC,GIDI,family,1,clan
PC,SEMI,family,1,clan
VISO,PC,family,1,clan
GICO,PC,family,1,clan
GIDI,PC,family,1,clan
SEMI,PC,family,1,clan
VISO,GICO,family,1,member
VISO,GIDI,family,1,member
VISO,SEMI,family,1,member
GICO,VISO,family,1,member
GICO,GIDI,family,1,member
GICO,SEMI,family,1,member
GIDI,VISO,family,1,member
GIDI,GICO,family,1,member
GIDI,SEMI,family,1,member
SEMI,VISO,family,1,member
SEMI,GICO,family,1,member
SEMI,GIDI,family,1,member
FS,BESA,family,1,clan
FS,FRCA,family,1,clan
FS,DOCO,family,1,clan
FS,SACR,family,1,clan
FS,SAER,family,1,clan
FS,ANFE,family,1,clan
FS,FRFE,family,1,clan
FS,GIFE,family,1,clan
BESA,FS,family,1,clan
FRCA,FS,family,1,clan
DOCO,FS,family,1,clan
SACR,FS,family,1,clan
SAER,FS,family,1,clan
ANFE,FS,family,1,clan
FRFE,FS,family,1,clan
GIFE,FS,family,1,clan
BESA,FRCA,family,1,member
BESA,DOCO,family,1,member
BESA,SACR,family,1,member
BESA,SAER,family,1,member
BESA,ANFE,family,1,member
BESA,FRFE,family,1,member
BESA,GIFE,family,1,member
FRCA,BESA,family,1,member
FRCA,DOCO,family,1,member
FRCA,SACR,family,1,member
FRCA,SAER,family,1,member
FRCA,ANFE,family,1,member
FRCA,FRFE,family,1,member
FRCA,GIFE,family,1,member
DOCO,BESA,family,1,member
DOCO,FRCA,family,1,member
DOCO,SACR,family,1,member
DOCO,SAER,family,1,member
DOCO,ANFE,family,1,member
DOCO,FRFE,family,1,member
DOCO,GIFE,family,1,member
SACR,BESA,family,1,member
SACR,FRCA,family,1,member
SACR,DOCO,family,1,member
SACR,SAER,family,1,member
SACR,ANFE,family,1,member
SACR,FRFE,family,1,member
SACR,GIFE,family,1,member
SAER,BESA,family,1,member
SAER,FRCA,family,1,member
SAER,DOCO,family,1,member
SAER,SACR,family,1,member
SAER,ANFE,family,1,member
SAER,FRFE,family,1,member
SAER,GIFE,family,1,member
ANFE,BESA,family,1,member
ANFE,FRCA,family,1,member
ANFE,DOCO,family,1,member
ANFE,SACR,family,1,member
ANFE,SAER,family,1,member
ANFE,FRFE,family,2,member
ANFE,GIFE,family,2,member
FRFE,BESA,family,1,member
FRFE,FRCA,family,1,member
FRFE,DOCO,family,1,member
FRFE,SACR,family,1,member
FRFE,SAER,family,1,member
FRFE,ANFE,family,2,member
FRFE,GIFE,family,2,member
GIFE,BESA,family,1,member
GIFE,FRCA,family,1,member
GIFE,DOCO,family,1,member
GIFE,SACR,family,1,member
GIFE,SAER,family,1,member
GIFE,ANFE,family,2,member
GIFE,FRFE,family,2,member
BESA,SARI,ally,2,member
BESA,MAAG,ally,1,member
BESA,GMAD,ally,1,member
ANFE,SARI,ally,1,member
ANFE,MAAG,ally,1,member
ANFE,GMAD,ally,1,member
CM,FIMA,family,1,clan
CM,BETI,family,1,clan
CM,PIVE,family,1,clan
CM,CAZA,family,1,clan
CM,ANMA,family,1,clan
CM,GIMA,family,1,clan
CM,VIMA,family,1,clan
CM,GATI,family,1,clan
CM,GITI,family,1,clan
CM,LOTI,family,1,clan
CM,ANVE,family,1,clan
CM,COVE,family,1,clan
CM,GIVE,family,1,clan
CM,RUVE,family,1,clan
CM,GIZA,family,1,clan
CM,ONZA,family,1,clan
CM,GIAB,family,1,clan
CM,MAAB,family,1,clan
CM,PAAL,family,1,clan
CM,PIAL,family,1,clan
CM,FIAR,family,1,clan
CM,GAAR,family,1,clan
CM,FRBU,family,1,clan
CM,VIBU,family,1,clan
CM,SABU,family,1,clan
CM,SACH,family,1,clan
CM,DOFE,family,1,clan
CM,GIIN,family,1,clan
